Link;Título;Autores;Fecha de publicación;Asesor(es);Editorial;Resumen;Palabras clave;Identificador único;Tipo de acceso
https://cybertesis.unmsm.edu.pe/item/9330303e-3010-451f-9286-38e68fa5c797;Adaptación de la guía PMBOK para documentar, estandarizar y optimizar la gestión de proyectos en consultoras de tecnología de información: caso 3-Soft Factory Center;Monge Teramae, Rosa Gabriela, Portocarrero Torres, Maritza, Administración de proyectos, Administración de proyectos - Procesamiento de datos, https://hdl.handle.net/20.500.12672/14934;2010;Osorio Beltrán, Norberto Antonio;Universidad Nacional Mayor de San Marcos;Pretende aplicar una metodología de gestión de proyectos en empresas de consultoría de tecnologías de información para la documentación, estandarización y optimización de los procesos realizados en la organización. La metodología que planteamos, que tiene por nombre DIRPRO, es una adaptación de la cuarta edición (2008) de la Guía PMBOK, “Project Management Body of Knowledge”, publicada por el PMI, “Project Management Institute”, además incluye la construcción de un Portal de Administración de los diferentes documentos creados en cada fase según lo indica la metodología planteada, para lo que se hará uso de la herramienta Microsoft Office SharePoint Server 2007. La cual servirá para la administración, clasificación y versionamiento de documentos correspondientes a los procesos de la organización. Con la aplicación de esta metodología se pretende estandarizar y optimizar los procesos de gestión de proyectos en las consultoras y así obtener productos de mejor calidad y asegurar la satisfacción del cliente.;Administración de proyectos, Administración de proyectos - Procesamiento de datos;https://hdl.handle.net/20.500.12672/14934;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/b0182161-baae-43b3-83dc-ba8dbbebd07b;Adecuación de la gestión de documentos para la digitalización haciendo uso de un validador de firma digital en los procesos financieros administrativos del Sistema Quipucamayoc 2.0;Hinostroza Cisneros, Johman Antonio, Scrum (Desarrollo de software para computadora), Firmas digitales, https://hdl.handle.net/20.500.12672/18780;2022;Díaz Muñante, Jorge Raúl;Universidad Nacional Mayor de San Marcos;Implementa un servicio digital para la gestión de documentos de los procesos administrativos financieros en la UNMSM, el análisis, desarrollo e implementación de este proceso de gestión documentario, a su vez integrando un validador de firma digital para mantener la certeza e integridad de la información. La disrupción en la convivencia social generada por la pandemia “COVID-19”, obligó a las personas e instituciones a considerar como estratégico el uso de tecnologías digitales en todos los procesos, con la finalidad de salvaguardar la vida de las personas y dar continuidad a los servicios institucionales que estas ofrecen. Asimismo, se tuvieron en cuenta el uso de buenas prácticas como la metodología ágil SCRUM, lo cual permite un desarrollo con entregables de manera progresiva. De esta manera reducimos tiempo y gastos en el proceso documentario de todas las facultades y dependencias dentro y fuera del campus universitario.;Scrum (Desarrollo de software para computadora), Firmas digitales;https://hdl.handle.net/20.500.12672/18780;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/158bc503-885f-463c-9e22-9bf8597e82ee;Adecuación del sistema BSCS usando el framework TMFORUM para la facturación a demanda en una TELCO;Yanac Castillo, Luis Eduardo, Software de aplicación – Desarrollo, Facturas., Tecnología de la información, Empresas, https://hdl.handle.net/20.500.12672/22637;2024;Soto Soto, Luis;Universidad Nacional Mayor de San Marcos;Detalla la customización del flujo de facturación para clientes corporativos que solicitan una factura diferenciada, dicha actividad tiene como objetivo realizar y/o entregar una factura fuera del tiempo del periodo regular, el tiempo de desfase entre la facturación diferenciada y regular es de dos semanas como mínimo. Factura es el documento que presenta el detalle de los servicios prestados o los productos vendidos y que se da al comprador o cliente para pedir su pago. El proyecto se centra en conocer las herramientas que tiene el facturador, modificar el flujo de la facturación por ciclos que tiene para clientes corporativos. Algunos clientes solicitaron al usuario un flujo de facturación particular, ya que su tiempo de validación de los recibos es mayor al tiempo del sistema BSCS billing, debido a controles internos propias del cliente, los clientes corporativos cuentan con una gran cantidad de líneas móviles y servicios, que es un importante ingreso de nuestro cliente. A fin de no perder dichos clientes se realizó un análisis con los especialistas del área usuaria y TI, llegando a la conclusión de realizar la creación de un flujo de facturación para dichos clientes corporativos, que se ejecutará en paralelo y no afectará la facturación cíclica ya existente, las fechas de cierre del nuevo flujo serán posterior a la fecha regular. Para la solución mencionada se utilizará el marco de trabajo de arquitectura del TMForum debido al producto que comercializa nuestro usuario y la metodología Cascada para el desarrollo del software;Software de aplicación – Desarrollo, Facturas., Tecnología de la información, Empresas;https://hdl.handle.net/20.500.12672/22637;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/f5132d6b-9f06-4b7a-8de1-67eab6e2b9da;Adecuación del sistema de calificación mediante herramientas de ofimática para la selección de una empresa auditora para las entidades públicas;Ramírez Salazar, Alex Felix, Auditoría - Programas para computadoras, Sector público - Auditoría, https://hdl.handle.net/20.500.12672/9594;2013;Vivanco Muñoz, Percy Elías;Universidad Nacional Mayor de San Marcos;"Presenta el diseño de una solución en los procesos que involucran la designación de sociedades de auditoría para la entidades del sector público, utilizando herramientas de ofimática, con el fin de reducir el tiempo que demora el proceso, así como lograr mayor número de entidades que cuenten con una sociedad auditora que efectúe el examen a sus estados financieros y la información presupuestal. Para el desarrollo de la solución se usara la metodología del proceso Unificado de Rational (RUP); así como el lenguaje de Modelamiento Unificado (UML).";Auditoría - Programas para computadoras, Sector público - Auditoría;https://hdl.handle.net/20.500.12672/9594;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/a0d973e5-cb21-478f-a061-4e89eac5a554;Agenda móvil para centros educativos iniciales siguiendo un modelo SaaS;Amanqui Fernández, Wilder Rolando, Tecnología educativa - Perú, Telecomunicaciones, Padres e hijos - Perú, https://hdl.handle.net/20.500.12672/8823;2015;Murakami de la Cruz, Sumiko Elizabeth;Universidad Nacional Mayor de San Marcos;Brinda una herramienta tecnológica que permita el acercamiento entre los familiares y el centro educativo, permitiendo mejorar la comunicación entre ellos, mediante una plataforma que será brindada siguiendo el modelo software como servicio, ello quiere decir que cualquier centro educativo que desee y necesite de esta herramienta puedo beneficiarse de ella, sin la necesidad de invertir la cantidad de dinero si optase por implantarla o adquirir una solución similar. El trabajo realiza un estudio de este modelo revisando sus ventajas y desventajas y los diferentes aspectos a considerar, así también se muestra soluciones similares en otros países que incluso a conllevado al logro de premios internacionales. Por último se muestra los prototipos de la solución realizando una simulación en tiempo real de los tipos de mensajes que se pueden intercambiar por medio de la plataforma entre los familiares relacionados con el menor y el docente.;Tecnología educativa - Perú, Telecomunicaciones, Padres e hijos - Perú;https://hdl.handle.net/20.500.12672/8823;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/4b28fcc5-c6eb-4009-a276-b27c291a40ca;Algoritmo basado en KMeans para la formación de grupos de estudiantes de computación;Quispe Alvarado, Cynthia Diana, Grupos de trabajo - Formación de, Algoritmos en computadoras, https://hdl.handle.net/20.500.12672/8841;2015;Mauricio Sánchez, David Santos;Universidad Nacional Mayor de San Marcos;Propone un algoritmo voraz que considera la unión de dos conceptos para la formación de grupos de estudiantes de manera que se logre cumplir los objetivos del aprendizaje colaborativo y la culminación exitosa de un trabajo asignado. El algoritmo propuesto es una adecuación del algoritmo KMeans donde se buscará formar grupos similares entre sí, pero que tengan una máxima heterogeneidad entre los individuos de cada grupo. Se implementa el algoritmo propuesto y se realiza dos casos de estudio, que muestran un grado de heterogeneidad y homogeneidad superior al obtenido por los grupos formados por autoselección. Respecto al aprendizaje colaborativo y al éxito del trabajo en grupo se observa que los grupos formado por el algoritmo presentan una nota superior en 0.93 y en 2.85 respectivamente con respecto a los grupos formados por autoselección.;Grupos de trabajo - Formación de, Algoritmos en computadoras;https://hdl.handle.net/20.500.12672/8841;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/e58dbe22-60a8-412c-997d-c5b4551a0363;Algoritmo de clustering utilizando k-means e índice de validación Rose turi para la segmentación de clientes de la Caja Rural Prymera;Angeles Bocanegra, Oscar Raúl, Melgarejo Quispe, Cesar Abel, Algoritmos, Relaciones con los clientes - Procesamiento de datos, Análisis cluster - Procesamiento de datos, Cajas de ahorros - Perú, https://hdl.handle.net/20.500.12672/12131;2012;Huayna Dueñas, Ana María;Universidad Nacional Mayor de San Marcos;Las empresas en la actualidad necesitan explotar la información que tienen de sus clientes. En particular caja Prymera necesita identificar grupos de clientes para orientar sus recursos y esfuerzos a cada grupo de manera individual. Las técnicas de clustering son de gran utilidad para obtener grupos que compartan características similares internamente y a su vez que los grupos que sean heterogéneos entre sí, es por ello que se realiza un estudio para seleccionar la técnica más adecuada para el problema de la segmentación de clientes, siendo el algoritmo K-Means en complementación con el índice de Rose Turi la técnica a utilizar por su bajo costo computacional, facilidad de implementación y porque permite obtener la cantidad óptima de clusters. Adicionalmente, para validar la eficiencia de la técnica propuesta se implementa el índice de Davies-Bouldin para contrastarlas con la de Rose Turi. Los resultados obtenidos indican que la técnica propuesta obtuvo los de clusters con una eficacia superior en 25% a lo obtenido por el índice de Davies-Bouldin, a su vez en cuanto a eficiencia en tiempo de procesamiento la técnica propuesta es superior en 17%.;Algoritmos, Relaciones con los clientes - Procesamiento de datos, Análisis cluster - Procesamiento de datos, Cajas de ahorros - Perú;https://hdl.handle.net/20.500.12672/12131;info:eu-repo/semantics/closedAccess
https://cybertesis.unmsm.edu.pe/item/a0a14cf9-db9e-4819-825b-755715ae5bed;Algoritmo del banquero : aplicado al sistema visado de poderes caso BBVA Banco Continental;Brañez Reyes, Marlon, Sistemas de almacenamiento y recuperación de la información-Bancos, Algoritmos en computadoras, Bancos-Automatización, https://hdl.handle.net/20.500.12672/13878;2011;De la Cruz Vélez de Villa, Percy Edwin;Universidad Nacional Mayor de San Marcos;"En la actualidad el mantener una ventaja competitiva, especialmente orientada al cliente, sobre los competidores es algo imprescindible; esto se puede lograr optimizando procesos y siendo eficientes en la asignación de recursos. Optimizando procesos iniciados por clientes así mismo reduciendo los tiempos de respuesta, del cual dependen o se ven involucrados los clientes; permitirá mantener la cartera de clientes o captar potenciales clientes. El proceso en estudio es el Visado de Poderes de la entidad financiera BBVA Continental, para lo cual optimizaremos la gestión del trámite documentario mediante el Sistema de Visado de Poderes. Mejorando su gestión en las asignaciones de los recursos disponibles del departamento de servicios jurídicos de la entidad financiera, en la cual se va implantar el Sistema de Visado de Poderes. El proceso de visado de poderes consiste en validar ciertos documentos dependiendo del caso, las personas encargadas de validar estos documentos son abogados de distintos estudios de Jurídicos, para ello se tiene que hacer llegar estos documentos para su validación lo cual es realizado por mensajería interna, una vez que estos documentos son revisados se procede a dar un veredicto, aprobado o rechazado, después del veredicto estos documentos retornan a la oficina de origen, donde fueron inicialmente recepcionados para ser visados; todo el ir y venir de los documentos así mismo la distribución de la carga laboral en el departamento legal, hace que el tiempo de la repuesta del la cual está a la espera el cliente no sea el óptimo. El tiempo de respuesta del proceso de visado de poderes se verá reducido debido a la automatización de proceso así como a la implementación del Algoritmo del Banquero en la asignación de recursos o distribución de carga laboral.";Sistemas de almacenamiento y recuperación de la información-Bancos, Algoritmos en computadoras, Bancos-Automatización;https://hdl.handle.net/20.500.12672/13878;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/e5004114-f1f9-4d9b-a736-f5ab26b3123b;Algoritmo en detección positiva de la imagen de una persona para la mejora en eficiencia energética en una Smart Grid Home;Garcia Quilachamin, Washington Xavier, Algoritmos en computadoras, Energía eléctrica, https://hdl.handle.net/20.500.12672/17304;2021;Pró Concepción, Luzmila Elisa;Universidad Nacional Mayor de San Marcos;La revolución tecnológica del siglo XXI ha contribuido a la aplicación de algoritmos en cámaras para la detección y reconocimiento de personas a partir de imágenes o videos considerados aún complejos para una computadora. Por lo que las tecnologías asociadas a la eficiencia energética y su uso en sistemas eléctricos surgen como problemas en la aplicación de dispositivos inteligentes en: viviendas, edificios, empresas e instituciones públicas y privadas. El objetivo de esta tesis es determinar de qué manera un algoritmo en detección positiva de la imagen de una persona en tiempo real influye en la eficiencia energética generada en un sistema de iluminación en una Smart Grid Home. Se realizó una revisión sistemática de los algoritmos en detección de patrones, considerando los criterios de Kitchenham y un estudio de campo, aplicado en instituciones públicas de la provincia de Manabí - Ecuador, la cual fue validada mediante el análisis factorial de confiabilidad relacionado con la prueba KMO, la esfericidad de Bartlett y el coeficiente alfa de Cronbach. Se aplicaron técnicas en la detección de patrones y los resultados obtenidos nos permiten considerar el modelo Support Vector Machines con un 92% de reconocimiento y el algoritmo Viola-Jones con detección efectiva del 97,53%. De manera experimental en relación con el algoritmo aplicado en un control de encendido y apagado de un dispositivo de iluminación, los resultados determinaron que el 99.5% en la detección de imágenes es positiva. Se concluye que la eficiencia y efectividad del algoritmo aplicado en un control de encendido y apagado de un dispositivo de iluminación mejora el consumo de energía eléctrica, siendo un aporte a la gestión energética, seguridad y vigilancia de las personas y bienes materiales.;Algoritmos en computadoras, Energía eléctrica;https://hdl.handle.net/20.500.12672/17304;info:eu-repo/semantics/openAccess
https://cybertesis.unmsm.edu.pe/item/c5b5c6a4-4d50-4ade-890b-b9f071a4f677;Un algoritmo multiplicador proximal para clasificación binaria en máquinas de vectores soporte;Cano Lengua, Miguel Angel, Algoritmos, Análisis vectorial, Scrum (Desarrollo de software para computadora), https://hdl.handle.net/20.500.12672/19351;2023;Papa Quiroz, Erik Alex;Universidad Nacional Mayor de San Marcos;Desarrolla un algoritmo multiplicador proximal para resolver problemas de optimización convexa separable sobre conos simétricos y aplicarlo a problemas de clasificación binaria para máquinas de vectores de soporte. Este algoritmo tiene como fundamento teórico los espacios vectoriales de dimensión finita, además de un producto interior, un Álgebra de Jordan Euclidiana, distancias proximales, cono simétrico de segundo orden, entre otros conceptos teóricos. El algoritmo para clasificación de datos binario se desarrolló probando la buena definición, el análisis de la convergencia, el análisis de la complejidad de este. Este algoritmo surge como una nueva técnica el cual puede ser utilizado para la clasificación de datos, se probó su convergencia global bajo determinados supuestos, se realizó la implementó del algoritmo en el software Matlab versión 2017 (R2017a), en una computadora 8 th Gen Intel (R) Core (TM) i5-8250U CPU, 1.60 GHz 1.80 GHz, 4.00 GB, Windows 1064 bits. Posteriormente se realizó el diseño utilizando el marco metodológico Scrum. Para ello se desarrolló 3 sprint de acuerdo con los requerimientos de las historias de usuarios. Se realizó un análisis comparativo con otros algoritmos proximales, así como también experimentos computacionales con el uso del algoritmo implementado.;Algoritmos, Análisis vectorial, Scrum (Desarrollo de software para computadora);https://hdl.handle.net/20.500.12672/19351;info:eu-repo/semantics/openAccess
